date,open,high,low,close,volume
26/06/2013,74.62,75.18,74.54,75.01,5478746
27/06/2013,75.48,76.11,75.24,75.26,7089175
28/06/2013,75.11,75.66,74.45,74.49,14553407
01/07/2013,74.99,75.275,74.1,74.59,6697677
02/07/2013,74.31,75.68,74.21,74.71,6728501
03/07/2013,74.41,75.12,74.09,74.76,2325106
05/07/2013,75.15,75.2599,74.41,75.21,5447435
08/07/2013,75.68,76.77,75.68,76.71,6716793
09/07/2013,76.96,77.44,76.74,77.03,5273182
10/07/2013,76.96,77.5,76.45,76.77,5144615
11/07/2013,77.45,77.75,77.33,77.63,4681017
12/07/2013,77.61,77.67,77.33,77.63,4462338
15/07/2013,77.3,77.3,76.7,77.03,4887186
16/07/2013,76.98,77.45,76.9,77.37,4707504
17/07/2013,77.62,77.79,77.09,77.2,5351382
18/07/2013,77.22,77.55,77.01,77.34,4149818
19/07/2013,77.45,78.17,77.34,78.08,6831161
22/07/2013,77.89,78.25,77.73,77.87,4158334
23/07/2013,77.96,78.63,77.8,78.55,5254366
24/07/2013,78.68,78.69,77.725,78.23,4930310
25/07/2013,78.05,78.46,77.63,78.01,5916134
26/07/2013,77.93,78.03,77.1,78,5349510
29/07/2013,77.83,78.255,77.78,77.99,3465300
30/07/2013,78.21,78.36,77.69,77.89,4533684
31/07/2013,77.92,78.48,77.73,77.94,6040794
01/08/2013,78.42,78.6725,78.105,78.22,5168733
02/08/2013,78.25,78.75,78,78.75,6123897
05/08/2013,78.62,79,78.43,78.77,3906060
06/08/2013,78.56,78.57,77.56,77.87,6700869
07/08/2013,77.16,77.63,76.62,77.37,5819994
08/08/2013,77.51,77.89,76.93,77.25,4474679
09/08/2013,77.21,77.32,76.77,76.9,5764571
12/08/2013,76.56,77.39,76.49,77.08,5787049
13/08/2013,77.17,77.25,76.22,76.86,6379970
14/08/2013,76.81,77.22,76.235,76.4,6643038
15/08/2013,74.46,75.08,74.03,74.41,13219885
16/08/2013,74.12,74.5,73.7,74.11,7223458
19/08/2013,73.88,73.93,73.21,73.58,5364944
20/08/2013,73.55,73.62,73.2001,73.23,6663009
21/08/2013,73.16,74.13,72.93,73.55,8077861
22/08/2013,73.81,74.035,73.24,73.46,3947412
23/08/2013,73.65,73.75,73.0301,73.44,5474969
26/08/2013,73.64,73.75,73.03,73.03,5357706
27/08/2013,72.68,73.11,72.51,72.86,5787225
28/08/2013,72.66,72.86,72.2701,72.38,5608550
29/08/2013,72.35,72.88,72.23,72.43,4088193
30/08/2013,72.64,73.07,72.58,72.98,6066164
03/09/2013,73.48,73.58,72.54,72.68,7156986
04/09/2013,72.7,73.12,72.45,72.91,4667490
05/09/2013,72.84,73.48,72.62,72.67,4680482
06/09/2013,72.7,73.16,72.19,72.59,5790232
09/09/2013,72.85,73.65,72.7,73.51,5527030
10/09/2013,73.66,74.21,73.57,73.96,6845276
11/09/2013,74,74.24,73.66,74.05,5335793
12/09/2013,74.18,74.52,73.77,73.91,5261800
13/09/2013,74.13,74.4,73.98,74.36,4020403
