date,open,high,low,close,volume
02/12/2013,84.04,84.15,83.1,83.34,7497468
03/12/2013,83.3,84,83.23,83.83,7533242
04/12/2013,83.38,83.49,82.59,83.35,6807176
05/12/2013,83.39,83.45,82.3,82.69,8186604
06/12/2013,83.23,84.53,83.17,84.52,7195873
09/12/2013,84.48,84.94,84.34,84.78,7395478
10/12/2013,84.41,84.43,83.43,83.65,7377576
11/12/2013,83.74,84.5,83.61,84.02,9787857
12/12/2013,83.82,83.87,81.93,82.3,10176250
13/12/2013,82.32,82.46,81.56,82.37,7441760
16/12/2013,82.72,83.07,81.6,81.69,8849683
17/12/2013,81.79,81.85,80.695,80.91,11416357
18/12/2013,81.21,82.42,80.48,82.38,12037277
19/12/2013,81.98,82.29,81.51,81.9,6442665
20/12/2013,81.98,82.54,81.82,81.84,13209405
23/12/2013,82.14,82.14,81.0099,81.31,8655988
24/12/2013,81.33,81.61,81.25,81.31,2899142
26/12/2013,81.49,81.89,81.29,81.76,5347162
27/12/2013,82.09,82.48,81.86,82.01,4006049
30/12/2013,82,82.05,81.57,82,4145666
31/12/2013,81.83,82,81.09,81.41,5766693
02/01/2014,81.33,81.36,80.32,80.54,6985476
03/01/2014,80.76,80.85,80.185,80.45,6925922
06/01/2014,80.61,80.98,80.3,80.64,7209873
07/01/2014,80.71,81.58,80.62,81.42,7158171
08/01/2014,80.97,81.15,80.05,80.24,13462911
09/01/2014,80.54,80.8,80.03,80.42,10839420
10/01/2014,80.59,80.89,80.2,80.3,8452355
13/01/2014,80.01,80.5,79.69,80.01,9366118
14/01/2014,80.06,80.92,80.02,80.87,8737186
15/01/2014,80.7,81.175,80.25,80.79,8223578
16/01/2014,80.65,80.83,80.26,80.56,11673888
17/01/2014,80.42,80.64,79.8,79.88,13633468
21/01/2014,80.59,80.72,79.54,80.18,13216873
22/01/2014,79.57,79.88,79.05,79.23,8455602
23/01/2014,78.71,78.97,78.12,78.24,12674650
24/01/2014,79.33,81.7,79.05,79.18,20190733
27/01/2014,79.24,79.295,78.42,78.47,10396538
28/01/2014,78.67,79.52,78.43,79.11,10061868
29/01/2014,78.8,78.8,77.38,77.64,13443126
30/01/2014,78.05,78.05,76.77,76.87,9462515
31/01/2014,76.03,77.191,75.26,76.62,12996679
03/02/2014,76.69,76.76,75.6,75.7,14304728
04/02/2014,76,76.39,75.4,76.09,15598441
05/02/2014,75.94,76.8,75.67,76.45,9734258
06/02/2014,76.53,76.99,76.48,76.9,7821991
07/02/2014,76.99,77.39,76.75,77.31,7301419
10/02/2014,77.43,78.09,77.19,78.03,8964308
11/02/2014,78.1,79.11,77.644,78.84,10516106
12/02/2014,78.13,78.53,77.06,77.49,11035220
13/02/2014,77.09,77.92,77,77.8,7422665
14/02/2014,77.69,79.75,77.25,79.4,10819496
18/02/2014,79.48,79.63,77.56,77.97,15763668
19/02/2014,77.64,78.958,77.55,78.14,8740119
20/02/2014,77.96,78.44,77.5,77.92,8275272
21/02/2014,78.05,78.89,77.91,77.97,8095885
24/02/2014,78.03,78.7699,77.61,77.86,7838896
25/02/2014,77.73,78.31,77.4,78.12,8182444
26/02/2014,78.23,78.77,77.82,77.86,7772528
27/02/2014,77.77,78.23,77.555,78.19,6549833
28/02/2014,78.24,78.91,78.0055,78.66,8489944
03/03/2014,78.26,78.4084,77.35,77.48,8598611
04/03/2014,78.09,78.72,77.895,78.45,8306976
05/03/2014,78.32,78.41,77.55,77.82,8542659
06/03/2014,78.04,78.445,77.84,78.06,6475573
07/03/2014,78.41,78.595,78.11,78.38,5865449
10/03/2014,78.29,78.57,78.2,78.53,5233421
11/03/2014,78.59,79.39,78.57,78.95,6599692
12/03/2014,78.66,79.45,78.62,79.24,7470100
13/03/2014,79.32,79.76,79.19,79.19,9676644
14/03/2014,79.1,79.23,78.67,78.98,14850696
17/03/2014,79.02,79.95,79.02,79.84,8452219
18/03/2014,79.84,80.08,79.5099,79.77,7703150
19/03/2014,79.68,79.91,78.51,78.78,8607176
20/03/2014,78.7,78.93,78.1549,78.32,8659509
21/03/2014,79.04,79.75,77.88,77.88,21250203
24/03/2014,78.495,79.83,78.47,79.3,11221570
25/03/2014,79.52,79.99,79.44,79.81,8892450
26/03/2014,80.03,80.18,79.33,79.5,8270011
27/03/2014,79.55,80.43,79.38,79.65,8134097
28/03/2014,79.94,80.32,79.52,79.76,6413509
31/03/2014,80,80.83,79.55,80.6,8493091
01/04/2014,80.6,80.84,80.21,80.34,8222389
02/04/2014,80.19,80.33,79.8,80.13,6741554
03/04/2014,80.28,80.58,79.93,80.1,5647193
04/04/2014,80.47,80.5561,79.75,79.77,8649667
07/04/2014,80.02,81.07,79.93,80.49,13228988
08/04/2014,80.51,81.38,80.02,81.35,11886367
09/04/2014,81.8,82.24,81.32,81.49,11555284
10/04/2014,81.58,82.13,80.89,81.09,12202694
11/04/2014,80.98,81.66,80.5,80.76,11831591
14/04/2014,81,81.2,80.51,80.81,7105587
15/04/2014,80.79,81.09,80.52,80.84,9007674
16/04/2014,81.28,81.88,81.03,81.65,8301006
17/04/2014,81.47,81.89,81.34,81.76,8374713
21/04/2014,81.81,81.81,81.29,81.56,6395150
22/04/2014,81.54,81.67,81.15,81.25,9260267
23/04/2014,80.72,80.72,79.38,80.36,9580599
24/04/2014,80.26,81.38,80.01,81.15,9528562
25/04/2014,81.2,81.58,80.97,81.41,7497404
28/04/2014,81.54,82.98,81.51,82.94,11595127
29/04/2014,82.75,82.95,82.36,82.44,7214281
30/04/2014,82.39,82.75,82.2375,82.55,6253243
01/05/2014,82.39,82.47,81.76,82.34,5312492
02/05/2014,82.22,82.6,81.75,81.92,6629371
05/05/2014,81.64,81.884,81.47,81.7,4563610
06/05/2014,81.76,81.76,81.12,81.13,4591267
07/05/2014,81.45,82.14,81.42,82.09,6639614
08/05/2014,82.06,82.32,81.82,82.16,4631207
09/05/2014,82.2,82.8,82.14,82.39,7303502
